grid,positionText,position_quali,sma_position,avg_pos_move
5,1,5,1.6,
3,1,3,3.2,
9,3,9,9.0,
15,4,15,14.0,
17,4,17,10.2,
1,1,1,1.8,
4,1,4,2.4,
14,0,14,7.0,
8,4,8,10.4,
0,0,2,2.2,
5,2,5,3.6,
19,4,19,13.6,
16,4,16,8.8,
18,4,18,12.0,
13,3,13,9.6,
12,4,12,9.2,
11,3,11,9.2,
6,3,6,8.8,
7,3,7,7.6,
10,4,10,6.8,
20,2,20,2.0,
20,4,10,7.8,
4,1,5,2.6,
11,0,12,7.0,
5,3,7,8.2,
3,1,4,3.0,
7,3,8,8.8,
12,3,13,9.2,
1,1,1,1.2,
14,4,17,13.5,
6,2,2,3.8,
17,4,20,12.0,
2,0,3,1.8,
10,2,6,2.8,
15,0,18,6.8,
8,3,9,9.2,
9,4,11,8.4,
13,3,16,10.6,
19,0,15,5.6,
16,0,19,10.4,
18,4,14,9.2,
12,4,14,12.0,
6,3,7,7.6,
5,1,5,2.6,
19,4,18,13.0,
8,0,9,7.8,
1,1,1,1.2,
4,0,4,2.4,
17,4,20,9.4,
16,2,6,3.4,
18,0,15,5.8,
7,3,8,5.0,
2,1,2,1.8,
3,2,3,3.8,
14,0,19,12.0,
15,4,17,6.8,
10,3,11,9.4,
9,3,10,7.0,
11,3,12,9.0,
13,4,16,10.2,
20,4,13,8.0,
3,3,3,2.8,
2,1,2,1.6,
10,4,11,10.0,
12,0,16,6.6,
15,4,19,12.0,
4,1,4,3.8,
11,3,12,6.6,
19,4,15,10.4,
8,0,9,2.2,
7,0,8,3.2,
17,0,13,6.5,
16,0,7,1.6,
1,2,1,2.0,
5,1,5,2.2,
6,2,6,7.4,
18,3,14,6.4,
9,3,10,6.6,
14,3,18,8.8,
13,4,17,11.6,
3,1,3,2.8,
10,0,11,5.4,
2,1,2,2.2,
8,4,9,3.6,
7,3,8,5.2,
17,4,19,9.2,
16,4,18,8.2,
1,1,1,3.6,
11,4,12,13.2,
14,3,5,2.4,
18,0,15,4.333333333333333,
19,4,17,13.0,
12,0,13,9.0,
6,3,7,8.0,
15,4,16,12.0,
13,0,14,8.8,
5,3,6,7.4,
4,2,4,2.6,
9,3,10,9.2,
20,2,20,3.4,
12,0,12,3.6,
20,4,20,7.0,
4,0,4,1.8,
7,3,7,3.2,
17,4,17,13.75,
3,1,3,2.0,
9,3,9,5.0,
5,2,5,3.6,
8,3,8,7.6,
19,4,19,9.0,
10,3,10,9.4,
2,1,2,3.4,
6,2,6,3.4,
15,4,15,10.2,
14,4,14,9.0,
18,4,18,11.4,
11,3,11,7.6,
16,4,16,12.8,
13,4,13,10.0,
1,1,1,2.8,
12,4,13,8.4,
4,3,4,4.2,
15,3,10,3.6,
13,4,14,13.0,
6,0,7,11.0,
16,4,16,8.6,
8,2,5,2.0,
7,3,8,4.6,
20,0,20,11.0,
3,1,3,2.2,
14,4,15,6.2,
2,1,2,3.2,
9,3,9,5.6,
11,3,12,9.0,
17,0,17,9.0,
1,1,1,3.6,
10,2,11,6.4,
5,0,6,7.4,
19,0,19,0.0,
18,4,18,13.0,
14,3,14,8.2,
17,3,17,7.8,
1,1,1,2.0,
8,3,9,7.0,
12,4,12,10.0,
3,1,3,3.0,
16,4,16,10.8,
20,4,20,13.6,
13,3,13,7.8,
4,0,5,2.0,
6,2,7,5.2,
11,4,11,9.4,
9,1,4,4.0,
10,4,10,6.4,
2,0,2,2.6,
19,4,19,12.5,
7,3,8,5.8,
5,2,6,9.0,
15,0,15,3.4,
18,4,18,7.5,
6,1,6,2.2,
13,3,13,7.2,
19,4,19,14.666666666666666,
8,4,8,11.0,
10,4,10,11.2,
3,1,3,3.0,
20,4,20,11.0,
