grid,positionText,position_quali,sma_position,avg_pos_move
6,3,7,6.8,
15,4,16,14.6,
13,3,14,10.4,
7,4,8,6.2,
2,1,3,2.4,
10,3,11,8.2,
20,2,2,1.8,
12,0,13,10.6,
15,0,15,12.0,
9,0,9,8.8,
14,3,14,6.8,
10,0,10,6.2,
2,0,3,2.4,
4,4,5,8.6,
20,4,20,11.0,
12,3,12,10.4,
6,3,6,7.8,
19,0,19,5.6,
3,1,4,5.2,
1,1,1,1.8,
18,3,18,11.6,
7,1,7,6.2,
13,4,13,10.8,
17,0,17,12.4,
5,2,2,3.0,
8,2,8,7.8,
11,3,11,6.8,
16,0,16,11.6,
10,0,10,6.4,
6,2,7,8.4,
1,1,1,3.0,
5,0,5,6.8,
0,4,20,11.2,
7,4,8,11.6,
3,3,3,7.0,
15,4,15,11.0,
4,1,4,1.6,
17,3,17,7.6,
19,4,19,11.6,
9,2,6,6.2,
18,4,18,14.0,
8,3,9,6.2,
12,3,13,7.8,
11,4,12,12.4,
14,0,11,5.4,
16,4,16,7.8,
13,3,14,10.6,
2,1,2,1.8,
13,2,13,8.4,
5,3,5,7.6,
4,3,4,7.0,
19,4,19,12.2,
14,4,14,7.4,
0,3,16,9.4,
9,3,9,7.2,
1,1,1,2.8,
8,4,8,7.4,
2,1,2,2.0,
6,4,6,6.8,
17,4,17,10.6,
20,4,20,8.6,
10,0,10,8.4,
3,2,3,6.0,
0,4,18,11.4,
7,1,7,1.6,
11,3,11,6.6,
12,4,12,12.6,
15,4,15,15.666666666666666,
18,4,20,15.5,
10,3,10,6.2,
12,3,12,7.2,
9,3,9,5.6,
1,1,1,1.6,
14,0,16,7.2,
13,0,13,9.2,
15,4,17,14.0,
7,4,7,9.2,
17,4,19,12.0,
19,0,14,8.6,
2,4,2,4.2,
5,2,5,6.8,
16,4,18,11.2,
6,3,6,4.0,
4,1,4,3.8,
11,3,11,9.4,
20,4,15,12.6,
8,2,8,6.2,
3,1,3,1.8,
18,4,18,16.2,
4,1,4,1.6,
5,4,5,6.8,
7,4,7,8.0,
15,4,15,12.8,
17,0,17,4.4,
11,4,12,7.6,
3,3,3,8.6,
2,1,2,1.8,
14,3,11,7.2,
12,4,13,9.8,
19,4,19,14.2,
6,3,6,5.2,
8,2,8,4.0,
10,3,10,7.0,
20,4,20,11.6,
16,3,16,8.8,
1,1,1,4.0,
13,4,14,12.2,
9,2,9,7.0,
9,0,9,3.6,
11,3,11,7.0,
1,1,1,1.2,
19,4,19,17.6,
10,3,10,8.4,
18,4,18,16.2,
16,4,16,7.4,
5,2,5,6.0,
15,4,15,8.2,
7,3,7,10.0,
3,1,3,2.0,
13,4,13,9.0,
14,4,14,14.4,
2,1,2,4.4,
6,3,6,6.0,
4,2,4,6.2,
8,3,8,8.4,
12,4,12,8.8,
17,4,17,16.0,
20,4,20,15.6,
15,0,15,13.0,
12,3,12,7.0,
14,4,14,9.6,
10,3,10,8.8,
8,3,8,6.8,
2,1,2,4.4,
11,4,11,9.0,
16,4,16,14.6,
18,0,18,12.8,
17,4,17,16.4,
20,4,20,8.4,
1,1,1,1.2,
7,0,7,8.2,
6,2,6,9.2,
9,3,9,6.4,
13,4,13,6.4,
4,2,4,8.2,
3,1,3,2.0,
5,3,5,6.4,
19,4,19,17.4,
14,4,14,14.2,
1,3,1,2.4,
5,0,5,1.6,
15,0,15,6.4,
7,3,7,7.8,
9,4,9,8.4,
19,4,19,12.2,
13,0,13,4.2,
20,4,20,15.8,
17,0,17,8.4,
10,1,10,7.2,
4,3,4,7.6,
11,3,11,8.4,
2,2,2,4.8,
18,4,18,12.6,
16,4,16,15.6,
8,1,8,6.2,
6,2,6,7.0,
3,1,3,6.8,
12,3,12,8.0,
1,1,1,2.4,
13,3,13,12.6,
9,0,9,4.2,
11,3,11,7.2,
20,0,20,6.4,
6,0,7,4.4,
7,2,6,7.4,
16,0,16,5.8,
10,0,10,6.8,
18,4,18,12.0,
19,0,19,12.8,
5,3,5,5.2,
14,3,14,8.4,
8,2,8,7.8,
3,0,3,1.2,
4,1,4,7.4,
15,4,15,14.8,
17,0,17,9.8,
12,3,12,9.8,
2,1,2,3.0,
16,4,16,15.0,
11,3,12,9.4,
6,0,6,1.6,
19,4,20,12.4,
18,4,18,8.8,
2,1,2,1.4,
9,3,9,5.4,
1,1,1,2.6,
13,4,14,12.0,
8,4,8,8.4,
10,3,11,5.6,
12,0,13,3.2,
14,4,15,8.6,
5,2,5,6.0,
20,4,19,12.2,
7,3,7,6.6,
3,1,3,2.6,
4,2,4,6.8,
17,4,17,8.6,
15,3,10,8.4,
5,0,5,6.8,
4,3,4,7.0,
20,3,20,8.4,
15,4,15,8.4,
7,0,7,4.0,
6,1,6,4.4,
14,3,14,7.4,
18,4,18,11.4,
11,4,11,9.4,
2,1,2,2.6,
17,0,17,8.6,
3,1,3,1.4,
1,0,1,2.0,
16,3,16,13.0,
9,2,9,6.6,
13,4,13,10.0,
12,3,12,4.8,
19,4,19,12.0,
10,2,10,1.4,
8,0,8,6.4,
20,4,20,11.8,
5,3,5,6.0,
17,4,17,10.4,
18,4,18,13.4,
3,1,3,1.4,
8,4,8,7.6,
1,1,1,2.6,
15,3,15,8.8,
4,2,4,5.0,
14,4,14,11.4,
11,3,11,4.6,
10,3,10,5.4,
13,4,13,11.6,
16,4,16,11.8,
7,3,7,2.6,
2,1,2,2.0,
6,4,6,8.0,
12,0,12,2.4,
19,4,19,8.2,
9,2,9,4.2,
8,2,8,10.6,
17,0,17,8.2,
15,4,15,3.2,
18,3,18,11.0,
10,3,10,3.6,
14,4,14,11.2,
4,0,4,4.0,
2,1,2,1.4,
5,1,5,4.8,
13,0,13,8.6,
3,0,3,1.4,
12,0,12,3.0,
7,2,7,6.0,
1,1,1,1.4,
16,4,16,13.8,
9,3,9,8.4,
20,3,20,9.2,
6,4,6,8.0,
19,4,19,11.8,
11,3,11,5.2,
10,0,10,9.2,
7,4,7,5.2,
0,0,20,11.8,
4,3,4,8.8,
17,0,19,11.4,
9,4,9,3.8,
3,1,3,4.6,
13,4,16,11.6,
16,4,17,11.6,
8,4,8,12.2,
1,3,1,4.4,
14,3,11,8.8,
15,2,13,4.6,
11,1,12,9.8,
19,4,15,6.6,
6,1,6,1.4,
2,3,2,2.6,
12,2,14,5.2,
0,4,18,9.6,
5,3,5,6.0,
15,2,15,5.6,
17,4,17,12.4,
9,2,9,6.6,
10,4,10,12.2,
11,4,11,9.8,
7,3,7,5.6,
2,3,2,5.2,
18,4,18,12.6,
13,0,13,4.4,
4,1,4,7.4,
19,0,19,8.0,
16,4,16,10.2,
12,3,12,6.0,
20,4,20,11.4,
5,4,5,7.4,
8,3,8,6.0,
14,4,14,8.4,
6,3,6,6.4,
3,1,3,2.6,
1,1,1,1.0,
19,3,15,8.6,
18,4,19,12.8,
10,1,10,5.0,
17,4,18,16.0,
1,3,1,6.8,
7,2,7,6.8,
3,0,3,2.2,
2,3,2,10.2,
4,0,4,4.6,
9,4,9,7.0,
8,2,8,5.4,
16,0,17,8.6,
20,4,20,17.0,
11,1,11,6.0,
6,3,6,10.6,
15,4,16,13.0,
12,3,12,8.6,
5,1,5,6.8,
13,4,13,10.0,
14,4,14,10.8,
17,4,19,18.0,
5,2,5,7.0,
13,4,13,10.8,
19,0,15,5.4,
15,4,16,13.0,
2,1,2,6.8,
18,4,20,8.4,
14,4,14,11.0,
12,4,9,6.4,
11,3,12,6.4,
3,1,3,1.4,
16,4,18,10.4,
1,1,1,1.8,
9,3,10,7.6,
10,3,11,6.2,
7,4,7,9.0,
4,2,4,7.0,
20,4,17,13.4,
6,3,6,5.4,
8,3,8,7.0,
