grid,positionText,current_points,current_wins,last_1,last_2,last_3,last_4,last_5,rolling_avg_pos_move_5,avg_position_real_rolling_5,propensity_1,propensity_0,sma_3
8,1,11.0,0,0,1,1,1,0,,,0.75,0.25,13.333333333333334
17,1,92.0,0,1,0,1,1,0,,,1.0,0.0,13.0
16,1,0.0,0,1,0,1,0,0,3.4,9.4,0.6,0.4,9.333333333333334
7,0,4.0,0,0,1,0,0,1,3.6,8.0,0.5714285714285714,0.42857142857142855,7.666666666666667
15,0,44.0,0,0,0,0,1,0,2.6,7.6,0.2,0.8,7.666666666666667
18,1,0.0,0,1,0,0,1,0,,,1.0,0.0,
1,0,153.0,3,1,0,1,0,1,1.2,3.0,0.7142857142857143,0.2857142857142857,3.0
12,0,2.0,0,1,1,1,1,0,1.6,11.4,0.8,0.2,12.0
16,1,0.0,0,0,1,1,1,0,3.0,12.6,1.0,0.0,12.333333333333334
7,0,22.0,0,0,0,1,0,0,3.0,7.0,0.14285714285714285,0.8571428571428571,7.333333333333333
8,0,171.0,3,0,1,0,1,0,0.4,3.6,0.625,0.375,4.333333333333333
1,1,151.0,2,1,1,0,0,1,0.0,2.4,0.7142857142857143,0.2857142857142857,2.6666666666666665
3,0,136.0,0,1,0,1,0,1,-3.0,6.0,0.42857142857142855,0.5714285714285714,7.666666666666667
2,1,0.0,3,0,0,1,1,1,-0.4,2.6,0.75,0.25,3.0
4,1,18.0,1,1,1,1,1,0,3.2,3.0,0.6666666666666666,0.3333333333333333,2.3333333333333335
18,1,11.0,0,1,0,1,1,1,3.4,10.8,0.8,0.2,9.0
9,0,4.0,0,0,0,1,0,0,3.0,7.2,0.5,0.5,8.0
6,0,0.0,0,1,1,0,1,0,2.4,9.8,0.6666666666666666,0.3333333333333333,10.333333333333334
14,1,29.0,0,0,0,1,0,1,0.8,11.2,0.6,0.4,11.666666666666666
17,0,45.0,0,0,0,0,1,0,-1.6,10.2,0.3333333333333333,0.6666666666666666,10.333333333333334
19,1,107.0,0,1,1,0,1,1,3.8,13.0,1.0,0.0,11.666666666666666
11,1,39.0,0,0,0,0,0,0,0.4,8.6,0.3333333333333333,0.6666666666666666,7.333333333333333
20,1,18.0,0,1,1,0,0,1,3.8,12.0,0.8,0.2,11.0
13,1,0.0,0,1,1,0,0,1,,,1.0,0.0,13.333333333333334
19,0,18.0,1,1,1,1,1,1,3.6,2.6,0.7142857142857143,0.2857142857142857,2.3333333333333335
10,1,0.0,0,0,1,1,0,1,2.2,9.4,0.5714285714285714,0.42857142857142855,9.666666666666666
8,1,0.0,0,1,1,1,0,0,4.0,13.0,1.0,0.0,12.666666666666666
7,0,4.0,0,0,0,0,1,0,2.6,7.4,0.4444444444444444,0.5555555555555556,6.666666666666667
4,0,98.0,0,0,0,0,0,0,,,0.25,0.75,4.333333333333333
17,1,18.0,0,1,1,1,0,0,4.6,12.6,0.8333333333333334,0.16666666666666666,13.0
5,0,43.0,0,1,0,0,0,0,1.0,8.8,0.42857142857142855,0.5714285714285714,9.0
12,1,29.0,0,1,0,0,1,0,0.4,12.6,0.6666666666666666,0.3333333333333333,13.0
14,1,57.0,0,0,0,0,0,1,1.6,9.2,0.2857142857142857,0.7142857142857143,10.333333333333334
15,1,11.0,0,1,1,0,1,1,5.0,10.6,0.8333333333333334,0.16666666666666666,7.333333333333333
3,0,0.0,3,1,0,0,1,1,-0.2,2.6,0.7777777777777778,0.2222222222222222,3.3333333333333335
