grid,positionText,position_standings,prev_points,prev_wins,prev_position_standings,last_positionText_1,last_positionText_2,last_positionText_3,last_positionText_4,last_positionText_5,last_positionText_6,last_positionText_7,last_positionText_8,last_positionText_9,last_positionText_10,propensity_top3_1,propensity_top3_0
16,0,18,0.0,0.0,17.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
13,0,13,4.0,0.0,11.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
4,0,2,61.0,1.0,2.0,1,1,1,1,1,1,1,1,0,1,0.75,0.25
2,1,4,34.0,0.0,4.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
5,0,6,35.0,0.0,5.0,0,0,1,0,0,1,0,0,1,1,0.2,0.8
11,0,14,4.0,0.0,13.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
4,0,4,49.0,0.0,4.0,1,0,0,0,0,0,0,0,0,0,0.2,0.8
10,0,8,9.0,0.0,10.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
16,0,16,0.0,0.0,21.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
14,0,12,4.0,0.0,12.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
12,0,10,11.0,0.0,9.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
2,1,1,86.0,2.0,1.0,1,1,1,1,1,0,0,0,0,0,0.8,0.2
6,1,5,22.0,0.0,6.0,0,0,0,0,0,0,1,1,0,1,0.0,1.0
7,0,18,0.0,0.0,20.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
9,0,9,18.0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
1,1,2,73.0,1.0,2.0,0,1,1,1,1,1,1,1,1,0,0.6,0.4
13,0,11,6.0,0.0,11.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
8,0,7,22.0,0.0,7.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
15,0,13,0.0,0.0,15.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
3,0,3,63.0,1.0,3.0,1,1,0,1,0,0,0,0,0,0,0.6,0.4
19,0,15,2.0,0.0,14.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
17,0,20,0.0,0.0,18.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
9,0,15,4.0,0.0,15.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
8,0,12,5.0,0.0,12.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
14,0,9,18.0,0.0,9.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
7,0,7,34.0,0.0,7.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
10,0,11,14.0,0.0,11.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
4,0,6,35.0,0.0,6.0,0,0,0,1,0,0,1,0,0,1,0.16666666666666666,0.8333333333333334
15,0,10,19.0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
5,1,5,37.0,0.0,5.0,1,0,0,0,0,0,0,1,1,0,0.16666666666666666,0.8333333333333334
2,1,1,104.0,2.0,1.0,1,1,1,1,1,1,0,0,0,0,0.8333333333333334,0.16666666666666666
6,0,8,17.0,0.0,10.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
19,0,17,0.0,0.0,16.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
1,1,4,49.0,0.0,4.0,0,1,0,0,0,0,0,0,0,0,0.16666666666666666,0.8333333333333334
11,0,13,4.0,0.0,14.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
13,0,2,98.0,2.0,2.0,1,0,1,1,1,1,1,1,1,1,0.6666666666666666,0.3333333333333333
20,0,22,21.0,0.0,15.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
16,0,16,0.0,0.0,20.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
3,0,3,63.0,1.0,3.0,0,1,1,0,1,0,0,0,0,0,0.5,0.5
18,0,14,4.0,0.0,13.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
1,1,2,104.0,2.0,2.0,0,1,0,1,1,1,1,1,1,1,0.5714285714285714,0.42857142857142855
4,0,4,67.0,0.0,4.0,1,0,1,0,0,0,0,0,0,0,0.2857142857142857,0.7142857142857143
9,0,8,19.0,0.0,10.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
6,1,5,52.0,0.0,5.0,1,1,0,0,0,0,0,0,1,1,0.2857142857142857,0.7142857142857143
7,0,10,20.0,0.0,9.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
5,0,6,45.0,0.0,6.0,0,0,0,0,1,0,0,1,0,0,0.14285714285714285,0.8571428571428571
8,0,7,34.0,0.0,7.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
18,0,13,5.0,0.0,13.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
19,0,18,0.0,0.0,17.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
13,0,9,25.0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
2,0,1,129.0,3.0,1.0,1,1,1,1,1,1,1,0,0,0,0.8571428571428571,0.14285714285714285
3,1,3,75.0,1.0,3.0,0,0,1,1,0,1,0,0,0,0,0.42857142857142855,0.5714285714285714
15,0,17,0.0,0.0,16.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
20,0,14,4.0,0.0,14.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
10,0,11,14.0,0.0,11.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
14,0,12,9.0,0.0,12.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
11,0,15,4.0,0.0,15.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
12,0,19,0.0,0.0,18.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
13,0,11,18.0,0.0,11.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
15,0,9,25.0,0.0,9.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
19,0,17,0.0,0.0,19.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
17,0,19,0.0,0.0,18.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
3,0,5,73.0,0.0,4.0,0,1,0,1,0,0,0,0,0,0,0.25,0.75
12,0,13,5.0,0.0,13.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
7,0,8,27.0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
10,1,4,67.0,0.0,5.0,1,1,1,0,0,0,0,0,0,1,0.375,0.625
4,0,1,141.0,3.0,1.0,0,1,1,1,1,1,1,1,0,0,0.75,0.25
11,0,16,4.0,0.0,15.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
2,1,3,93.0,1.0,3.0,1,0,0,1,1,0,1,0,0,0,0.5,0.5
16,0,14,10.0,0.0,12.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
20,0,18,0.0,0.0,17.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
14,0,15,4.0,0.0,14.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
1,0,2,129.0,3.0,2.0,1,0,1,0,1,1,1,1,1,1,0.625,0.375
9,0,10,20.0,0.0,10.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
6,0,7,44.0,0.0,7.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
5,0,6,45.0,0.0,6.0,0,0,0,0,0,1,0,0,1,0,0.125,0.875
11,0,12,18.0,0.0,11.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
9,0,8,35.0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
7,0,6,44.0,0.0,7.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
10,0,9,29.0,0.0,9.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
8,0,2,139.0,3.0,2.0,0,1,0,1,0,1,1,1,1,1,0.5555555555555556,0.4444444444444444
2,1,1,153.0,3.0,1.0,0,0,1,1,1,1,1,1,1,0,0.6666666666666666,0.3333333333333333
4,1,4,92.0,1.0,4.0,1,1,1,1,0,0,0,0,0,0,0.4444444444444444,0.5555555555555556
3,0,5,73.0,0.0,5.0,0,0,1,0,1,0,0,0,0,0,0.2222222222222222,0.7777777777777778
15,0,14,11.0,0.0,13.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
5,0,7,45.0,0.0,6.0,0,0,0,0,0,0,1,0,0,1,0.1111111111111111,0.8888888888888888
1,1,3,111.0,1.0,3.0,1,1,0,0,1,1,0,1,0,0,0.5555555555555556,0.4444444444444444
17,0,10,20.0,0.0,10.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
14,0,16,4.0,0.0,16.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
6,0,13,10.0,0.0,14.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
12,0,17,2.0,0.0,17.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
16,0,18,0.0,0.0,18.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
19,0,19,0.0,0.0,19.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
20,0,15,5.0,0.0,15.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
9,1,3,136.0,2.0,3.0,1,1,1,0,0,1,1,0,1,0,0.6,0.4
17,0,15,5.0,0.0,15.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
11,0,18,0.0,0.0,18.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
20,0,17,2.0,0.0,17.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
8,0,20,0.0,0.0,20.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
19,0,4,107.0,1.0,4.0,1,1,1,1,1,0,0,0,0,0,0.5,0.5
3,0,1,171.0,3.0,1.0,1,0,0,1,1,1,1,1,1,1,0.7,0.3
13,0,9,29.0,0.0,9.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
5,0,10,18.0,0.0,12.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
14,0,11,22.0,0.0,10.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
6,0,7,50.0,0.0,6.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
7,0,8,39.0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
4,0,6,45.0,0.0,7.0,0,0,0,0,0,0,0,1,0,0,0.1,0.9
2,1,5,83.0,0.0,5.0,0,0,0,1,0,1,0,0,0,0,0.2,0.8
16,0,14,11.0,0.0,14.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
10,0,13,18.0,0.0,13.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
18,0,19,0.0,0.0,19.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
1,1,2,151.0,3.0,2.0,0,0,1,0,1,0,1,1,1,1,0.5,0.5
12,0,16,4.0,0.0,16.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
13,0,7,52.0,0.0,7.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
8,0,18,0.0,0.0,20.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
5,0,6,57.0,0.0,6.0,0,0,0,0,0,0,0,0,1,0,0.09090909090909091,0.9090909090909091
15,0,14,11.0,0.0,14.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
7,0,15,2.0,0.0,17.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
9,0,9,29.0,0.0,9.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
2,1,5,98.0,0.0,5.0,1,0,0,0,1,0,1,0,0,0,0.2727272727272727,0.7272727272727273
6,0,4,117.0,1.0,4.0,0,1,1,1,1,1,0,0,0,0,0.45454545454545453,0.5454545454545454
1,1,1,177.0,3.0,1.0,0,1,0,0,1,1,1,1,1,1,0.6363636363636364,0.36363636363636365
14,0,13,18.0,0.0,13.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
19,0,23,48.0,0.0,12.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
11,0,8,43.0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
17,0,12,18.0,0.0,12.0,0,0,1,0,0,0,0,0,0,0,0.09090909090909091,0.9090909090909091
12,0,10,26.0,0.0,10.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
4,0,2,176.0,4.0,2.0,1,0,0,1,0,1,0,1,1,1,0.5454545454545454,0.45454545454545453
20,0,20,0.0,0.0,19.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
16,0,17,4.0,0.0,16.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
18,0,16,5.0,0.0,15.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
10,0,19,0.0,0.0,18.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
3,1,3,154.0,2.0,3.0,1,1,1,1,0,0,1,1,0,1,0.6363636363636364,0.36363636363636365
18,0,16,5.0,0.0,16.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
11,0,12,18.0,0.0,13.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
16,0,11,23.0,0.0,11.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
12,0,14,11.0,0.0,14.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
